game_id,p1_model,p2_model,outcome
iter1_0v1_g1,ollama:granite4:3b,ollama:ministral-3:3b,p1_wins
iter1_0v1_g2,ollama:ministral-3:3b,ollama:granite4:3b,p2_wins
iter1_0v1_g3,ollama:granite4:3b,ollama:ministral-3:3b,p2_wins
iter1_0v2_g1,ollama:granite4:3b,ollama:qwen3.5:4b,p1_wins
iter1_0v2_g2,ollama:qwen3.5:4b,ollama:granite4:3b,p2_wins
iter1_0v2_g3,ollama:granite4:3b,ollama:qwen3.5:4b,p1_wins
iter1_0v3_g1,ollama:granite4:3b,ollama:gemma4:e4b,p2_wins
iter1_0v3_g2,ollama:gemma4:e4b,ollama:granite4:3b,p2_wins
iter1_0v3_g3,ollama:granite4:3b,ollama:gemma4:e4b,p1_wins
iter1_1v2_g1,ollama:ministral-3:3b,ollama:qwen3.5:4b,p1_wins
iter1_1v2_g2,ollama:qwen3.5:4b,ollama:ministral-3:3b,p2_wins
iter1_1v2_g3,ollama:ministral-3:3b,ollama:qwen3.5:4b,p1_wins
iter1_1v3_g1,ollama:ministral-3:3b,ollama:gemma4:e4b,p2_wins
iter1_1v3_g2,ollama:gemma4:e4b,ollama:ministral-3:3b,p2_wins
iter1_1v3_g3,ollama:ministral-3:3b,ollama:gemma4:e4b,p2_wins
iter1_2v3_g1,ollama:qwen3.5:4b,ollama:gemma4:e4b,p2_wins
iter1_2v3_g2,ollama:gemma4:e4b,ollama:qwen3.5:4b,p1_wins
iter1_2v3_g3,ollama:qwen3.5:4b,ollama:gemma4:e4b,p2_wins
iter2_0v1_g1,ollama:granite4:3b,ollama:ministral-3:3b,p2_wins
iter2_0v1_g2,ollama:ministral-3:3b,ollama:granite4:3b,p1_wins
iter2_0v1_g3,ollama:granite4:3b,ollama:ministral-3:3b,p2_wins
iter2_0v2_g1,ollama:granite4:3b,ollama:qwen3.5:4b,p1_wins
iter2_0v2_g2,ollama:qwen3.5:4b,ollama:granite4:3b,p2_wins
iter2_0v2_g3,ollama:granite4:3b,ollama:qwen3.5:4b,p2_wins
iter2_0v3_g1,ollama:granite4:3b,ollama:gemma4:e4b,p1_wins
iter2_0v3_g2,ollama:gemma4:e4b,ollama:granite4:3b,p1_wins
iter2_0v3_g3,ollama:granite4:3b,ollama:gemma4:e4b,p2_wins
iter2_1v2_g1,ollama:ministral-3:3b,ollama:qwen3.5:4b,p1_wins
iter2_1v2_g2,ollama:qwen3.5:4b,ollama:ministral-3:3b,p2_wins
iter2_1v2_g3,ollama:ministral-3:3b,ollama:qwen3.5:4b,p1_wins
iter2_1v3_g1,ollama:ministral-3:3b,ollama:gemma4:e4b,p1_wins
iter2_1v3_g2,ollama:gemma4:e4b,ollama:ministral-3:3b,p2_wins
iter2_1v3_g3,ollama:ministral-3:3b,ollama:gemma4:e4b,p1_wins
iter2_2v3_g1,ollama:qwen3.5:4b,ollama:gemma4:e4b,p1_wins
iter2_2v3_g2,ollama:gemma4:e4b,ollama:qwen3.5:4b,p2_wins
iter2_2v3_g3,ollama:qwen3.5:4b,ollama:gemma4:e4b,p1_wins
